sample	BLCA	CESC	ESCA	HNSC	LUSC	window_size	coverage
F148367	0.017220687	0.0057002543	0.0138357105	0.7901576	0.17308572	100	0.1
F148369	0.0197899	0.011729979	0.0037130178	0.93535334	0.029413698	100	0.1
F148370	0.013027	0.007840872	0.00700628	0.9304706	0.041655324	100	0.1
F148374	0.009417467	0.0017667739	0.007872311	0.7153937	0.26554966	100	0.1
F148375	0.02659922	0.0013776019	0.0038157918	0.2899886	0.6782188	100	0.1
F148376	0.026033457	0.010702175	0.008520549	0.856005	0.09873879	100	0.1
F148377	0.011452625	0.022193043	0.06572177	0.85170114	0.048931427	100	0.1
32395_T_F112331-F94490	0.049658995	0.015675142	0.003024755	0.88000095	0.05164024	150	0.1
32655_T_F111504	0.03413076	0.010439147	0.034047	0.48291343	0.4384696	150	0.1
33373_T_F94422	0.0721417	0.03863082	0.005850877	0.83224857	0.05112806	150	0.1
36067_T_F94494	0.037550088	0.026232893	0.01230403	0.86741275	0.056500256	150	0.1
40168_T_F94519	0.042912766	0.04030155	0.020200957	0.83135194	0.065232776	150	0.1
41813_T_F94516	0.01768893	0.0052178386	0.0021522609	0.93309677	0.041844193	150	0.1
F138888	0.005469173	0.0027634786	0.011902197	0.89236563	0.08749953	150	0.1
F148364	0.03099938	0.017306073	0.03854509	0.71918374	0.19396578	150	0.1
F148365	0.027767662	0.013770832	0.019742306	0.8109255	0.12779374	150	0.1
F148367	0.015239276	0.0050870394	0.014236559	0.790941	0.17449613	150	0.1
F148369	0.01695604	0.009849883	0.0042998604	0.93567854	0.033215642	150	0.1
F148370	0.013482673	0.009169183	0.006890023	0.9348362	0.035621893	150	0.1
F148374	0.013707955	0.0021144974	0.0078947125	0.6424802	0.3338027	150	0.1
F148375	0.029121077	0.0014799152	0.003454187	0.31177104	0.65417373	150	0.1
F148376	0.028366746	0.011519308	0.008652856	0.84938055	0.102080554	150	0.1
F148377	0.011670414	0.021617502	0.059187982	0.85981905	0.04770497	150	0.1
32395_T_F112331-F94490	0.058518726	0.019417264	0.0032865545	0.8667866	0.051990904	200	0.1
32655_T_F111504	0.033396795	0.008553374	0.026057256	0.48210883	0.4498837	200	0.1
33373_T_F94422	0.06548255	0.04615769	0.008009126	0.83465445	0.04569616	200	0.1
36067_T_F94494	0.036698695	0.02585396	0.012397554	0.86891764	0.056132194	200	0.1
40168_T_F94519	0.040640872	0.0402205	0.019461233	0.84066653	0.059010886	200	0.1
41813_T_F94516	0.019180145	0.0052571176	0.0022900451	0.9242796	0.04899306	200	0.1
F138888	0.0051830476	0.0030700872	0.015498328	0.8890999	0.08714863	200	0.1
F148364	0.032237735	0.015498425	0.033447493	0.70327985	0.21553645	200	0.1
F148365	0.011321775	0.005018656	0.022250835	0.80147547	0.15993315	200	0.1
F148367	0.020930344	0.008014019	0.016251	0.79258704	0.1622176	200	0.1
F148369	0.015787313	0.009945441	0.0052357255	0.9345341	0.034497347	200	0.1
