sample	UMAP1	UMAP2
genomic DNA from ESCC - T18	4.048320796179959	0.687914947208513
genomic DNA from ESCC - T19	1.042707764749476	-0.8642673433651432
genomic DNA from ESCC - T20	3.0691774957238556	0.05071098739978741
genomic DNA from ESCC - T21	2.703777532487349	0.40322297192329615
genomic DNA from ESCC - T22	2.903194874014589	0.4523036979895393
genomic DNA from ESCC - T23	1.2235207984186929	-1.1880841488660245
genomic DNA from ESCC - T24	3.9969301473423817	0.5426654248954915
Case_01	3.578385086121912	-0.4593005727292443
Case_02	3.7273599486056237	-0.4671345649016589
Case_03	2.160653230613545	0.15867934299156716
Case_04	-3.536868496605695	-3.5572532389590434
Case_05	-3.079301376453573	-3.760578850257965
Case_06	2.695160059888043	0.38127672319618966
Case_07	0.9851045658271601	-0.6621868168362719
Case_08	0.9202822232866966	-3.9282217340135945
Case_09	2.7778587710431406	0.3211677876176017
Case_10	1.7582566622007398	-0.2110342966810076
Case_11	0.2312127353117465	0.8048222721128301
Case_12	0.792588418373133	-0.8553856818215728
Case_13	-3.332853643464611	-3.7007489215160856
Case_14	1.4159679611298803	1.2578510736849582
Case_15	-3.7163925826410007	-4.203084032512485
Case_16	1.6558818723228976	1.0071732395074822
Case_17	-3.1941834307282515	-3.638047996956891
Case_18	0.1547783374800578	0.7782776168463029
Case_19	1.5077948756180588	-0.40991252065871364
Case_20	4.047170825848422	0.6516897470934061
Case_21	-3.9093677554818167	-3.450622798588654
Case_22	0.28724350392476095	0.8021494480122603
Case_23	-3.08188978933312	-3.6181893604137576
Case_24	1.1902212522514504	1.304299808757719
Case_25	-4.257203095889017	-3.044491375775977
Case_26	1.2072259266746845	-0.47821082846808993
Case_32	3.823373599330539	0.8525307449100151
Case_33	2.278932511926822	1.5532181620611771
Case_34	4.521203427547472	0.3605904744064966
Case_35	2.3240312132569074	1.334836455551025
Case_36	0.9002814784680938	1.867830336053102
Case_37	0.2573794432485079	0.9230178868973867
Case_38	0.878816576261496	1.0096172962980035
Case_39	4.209508768800567	0.584600244494751
Case_40	1.4530282160217685	1.1275866708527627
Case_41	3.2979013222224736	1.3099612433950876
Case_42	3.4942908527090406	1.0443844551847117
Case_43	4.632939563518835	0.9850806845174088
Case_44	2.6229852147197765	1.6827726991454233
Case_45	1.5850756377353863	1.1779060701881634
Case_46	3.505518530426846	0.7774291569429049
Case_47	1.0497760920866688	0.9789982276370163
Case_48	4.362191133579532	1.1887346025633074
Case_49	4.024825903996759	0.11155144073067802
Reference_sample_1	1.1772977732763292	-0.5562020930717926
Reference_sample_2	-0.13126090494643955	-0.5950588734096207
Reference_sample_3	0.7744046896880709	-0.6370109046857524
Reference_sample_4	-0.20694114859395807	-0.5715197364082861
Reference_sample_5	0.47066017113798564	-0.3414501108000195
Reference_sample_6	3.507669268491042	1.2179135509087136
Reference_sample_7	0.6304390635208674	1.6123272798847417
Reference_sample_8	4.228128092291071	0.17078612117980363
Reference_sample_9	1.2595438903924678	1.125543014033632
Reference_sample_10	2.720822017559148	0.37146868003109546
Case_27	-0.25285155138896864	-0.9852905628539989
Case_28	1.6361677812463755	-0.113202456485198
Case_29	1.5145349687992307	-0.40420146958571623
Case_30	1.542506891301267	-0.43192779777668106
Case_31	-4.040081124647132	-3.368060033907235
Case_50	3.7859832550676784	0.22635301015424136
Case_51	1.2846589815339902	1.054989031383954
GSM2098204	-0.251365947324636	-2.6930342215436975
GSM2098205	0.015312418343941855	-0.8522806675187243
GSM2098206	0.37916059728019	-1.175824688413873
GSM2098207	-0.4642161716443025	-1.2363645797165925
GSM2098208	0.06578425215637729	-1.957305221969813
GSM2098209	0.3488137983743057	-0.5987482061886381
GSM2098210	-0.5195817098686044	-1.3320861495450365
GSM2098211	0.07658739793126054	-0.7599055250232081
GSM2098212	0.6059718500958252	-1.2708540693990957
GSM2098213	-0.23744158574230542	-1.4634194173586375
GSM2098214	-0.5937827153018813	-2.2543816936651138
GSM2098215	1.0117779399226177	-4.13648650146383
GSM2098216	0.537816763263906	-1.0106997294922762
GSM2098217	-0.9486941054652721	-2.040157529371842
